id,regno,site,class,construction,year,place,Al_K12,Ar_K12,As_K12,As_L1,Ba_K12,Ba_L1,Br_K12,Br_L1,Ca_K12,Cd_K12,Cd_L1,Cl_K12,Cr_K12,Cu_K12,Fe_K12,Ga_K12,Ga_L1,In_K12,In_L1,K_K12,Mn_K12,Ni_K12,P_K12,Pb_L1,Pb_M1,Pd_K12,Pd_L1,Rb_K12,Rb_L1,Rh_K12,Rh_L1,S_K12,Sc_K12,Si_K12,Sn_K12,Sn_L1,Sr_K12,Sr_L1,Ti_K12,V_K12,Y_K12,Y_L1,Zn_K12,Zr_K12,Zr_L1
149,BAT4000,BAT,Dutch,Wooden,1629,OutsideBase,579,1,19483,250,4412,2117,17,1,98748,104,0,1,14,3149,57372,0,941,118,36,25768,50583,676,40,4869,36,35875,173,20437,152,46163,0,471,408,5460,903,302,94521,1,1351,475,977,32,7089,21866,5
184,BAT4000,BAT,Dutch,Wooden,1629,OutsideBase,521,1,20153,243,4858,2046,108,1,105972,716,0,71,1,3050,57826,109,954,668,687,27173,53574,704,1,3868,0,37830,343,21062,466,47847,0,549,511,5700,1441,1,98273,1,1129,401,1229,139,6528,22948,0
144,BAT4077,BAT,Dutch,Wooden,1629,Cross,468,1,6139,233,6050,2229,44,1,122011,231,0,1,1,2764,54528,0,920,237,698,29479,64625,841,184,12498,34,35946,260,20346,384,48080,10,2,222,5934,1303,1,107410,1,1378,512,1222,1,6813,20295,3
142,BAT4077,BAT,Dutch,Wooden,1629,InsideBase,548,1,6280,233,6704,1988,1,21,113412,594,0,1,1,2902,56626,66,1019,414,534,26383,63216,782,99,13212,0,37198,354,20877,537,51293,1,17,517,6654,1705,291,110587,1,1281,384,1140,27,6776,20943,3
183,BAT4000,BAT,Dutch,Wooden,1629,InsideBase,542,27,11279,203,5315,2059,1,1,116861,61,0,1,7,2758,70024,0,1061,134,474,30399,56345,1007,183,2858,57,37897,134,20868,166,51997,112,45,259,5859,553,265,101195,1,1607,504,1494,1,5880,23254,1
139,BAT4000,BAT,Dutch,Wooden,1629,Base,507,1,11496,232,5597,2153,1,1,118685,121,0,1,1,2797,71585,117,1004,354,333,31027,57028,997,228,2685,0,37701,195,20954,236,51919,1,172,287,5896,947,420,102343,1,1556,663,1858,1,6015,23454,1
182,BAT4620,BAT,Dutch,Wooden,1629,,708,1,965,168,5683,2033,1,1,113951,69,0,1,-22,2889,78196,0,1002,105,1133,29530,53607,553,105,1189,-1,33477,97,19589,1,47615,70,1,274,5394,1002,1,103828,74,2182,260,1552,1,5319,21042,1
138,BAT4620,BAT,Dutch,Wooden,1629,SideInside,528,1,591,222,4743,1999,43,1,107269,207,0,147,1,2685,64757,106,855,104,485,28927,50279,471,131,1095,0,33218,115,17987,94,42917,52,117,101,4948,1203,14,95452,2,1494,283,925,30,3796,19354,1
181,CM93,CM,Colonial,Composite,1830,Side,560,1,0,204,797,98,227,1,141721,415,-1,1073,200,1453,143050,138,1085,244,336,1364,19313,383,1,3198,9,38376,23,1407,527,47766,111,1,593,5045,971,185,114084,195,2840,142,1877,1,1921,21034,24
180,CM93,CM,Colonial,Composite,1830,Side,619,1,314,179,871,-5,130,1,154701,497,-1,1246,139,1664,173315,182,1146,247,1,1785,21102,464,1,3236,0,38338,230,1173,528,49456,1,94,565,5379,1191,370,122616,154,3124,259,2142,33,2329,24139,64
179,LJ3,LJ,Colonial,Wooden,1921,Inside,750,32,42,261,1170,109,50,1,88645,406,0,1,163,1406,153204,408,1064,204,375,8621,3924,86,58,1997,0,40181,280,8150,86,44855,2,174,1,5504,713,15,46230,1,3523,252,3145,8,3130,43619,19
106,LJ3,LJ,Colonial,Wooden,1921,Side,331,85,457,220,1014,137,1,235,89963,62,0,1,24,1509,156919,398,1076,247,267,8841,3992,139,40,1968,0,42666,267,8989,309,49381,1,69,384,5721,1026,97,48247,1,3619,404,3224,45,3215,45353,1
114,BEL231,BEL,Colonial,Composite,1824,Inside,446,1,801,224,1527,299,364,1,152105,268,0,183,166,1795,107687,-1,990,271,6,6152,2594,246,1,3530,35,37481,212,2836,149,46938,14,1,678,6165,1148,304,195438,242,1759,298,1811,1,2216,23174,17
178,BEL231,BEL,Colonial,Composite,1824,Inside,541,1,1183,275,1440,204,442,1,149202,364,0,165,290,1586,104847,0,1048,210,125,5616,2350,354,1,3493,23,38922,236,2671,1,47557,0,86,712,6309,695,317,195107,59,1734,195,1383,1,2185,23281,128
111,BEL3557,BEL,Colonial,Composite,1824,InsideBase,612,1,468,250,842,1,614,1,180152,462,0,184,207,1675,108260,124,1051,174,67,4015,2472,290,1,2769,0,40833,159,3641,416,52911,1,227,356,6300,967,376,37546,114,2192,262,2025,142,3324,28956,-2
109,BEL3557,BEL,Colonial,Composite,1824,Cross,578,53,424,224,767,-4,508,1,159298,711,0,235,104,1595,95371,3,902,220,270,3371,2330,186,41,2880,0,36067,60,2901,244,46192,0,211,363,5570,878,369,32904,1,1836,92,1618,33,2801,26482,42
105,BN5440,BN,Colonial,Iron,1888,Cross,799,20,1972,241,831,4,487,1,136359,24,0,128,229,9282,186101,128,927,258,356,3520,7182,435,65,2237,0,38631,191,3713,418,48189,1,81,434,6160,1159,173,24053,43,2436,249,1871,1,7700,23601,1
103,BN5440,BN,Colonial,Iron,1888,Top,519,3,1866,244,753,1,1727,1,122741,424,-1,1,261,22475,173648,50,909,158,300,3050,6541,469,1,2466,-1,38728,345,3819,184,44601,1,186,451,5582,880,139,22452,1,2243,143,1741,90,7570,22298,0
177,LJ61,LJ,Colonial,Wooden,1921,Shoulder,430,67,5440,260,1623,577,264,129,147975,357,0,289,136,1653,167357,0,1053,-6,659,2989,9949,305,1,13330,6,39047,280,3442,574,50139,1,189,505,5647,887,172,56142,1,2371,295,2015,1,3571,30427,34
